task,benchmark,task_type,metric,mean_test,sd_test,n_runs
bbbp,BBBP,classification,auc,0.6817322530864197,0.008115446871902353,5
bace,BACE,classification,auc,0.8045209528777604,0.035132481393827124,5
clintox,ClinTox,classification,auc,0.8385972960761826,0.021355813002982837,5
tox21,Tox21,classification,auc,0.7237879281227584,0.0038529855610525605,5
toxcast,ToxCast,classification,auc,0.5893330341523879,0.002337437848381487,5
sider,SIDER,classification,auc,0.6179383059710282,0.010844813631229204,5
hiv,HIV,classification,auc,0.7618288794852472,0.014419141278477252,5
muv,MUV,classification,auc,0.7735020527780976,0.026032016178358496,5
