seed,config_id,within_range_count,mean_normalized_score,mean_norm_classification,elapsed_sec_total
42,x03,6,0.3358602997115572,0.3358602997115572,155.714
43,x03,6,0.2797717127828599,0.2797717127828599,160.88
44,x03,6,0.30175523783460856,0.30175523783460856,160.568
45,x03,6,0.3739810133002338,0.3739810133002338,165.232
46,x03,5,0.22918662939447215,0.22918662939447215,167.777
