task,task_type,metric,feature_mode,fingerprint,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec,config_id,seed
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,96,0.9389624614159116,0.6779996141975309,1.067,t07,42
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,96,0.7071428571428572,0.7951660580768563,0.963,t07,42
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,96,0.9466807840047277,0.8511451708198658,1.009,t07,42
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,96,0.7049184644476606,0.6844658937937834,4.382,t07,42
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,96,0.690545699030296,0.5740066377139863,57.979,t07,42
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,96,0.6395495957358399,0.6043352624937958,3.824,t07,42
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,96,0.6946312218302959,0.7181502153382645,18.132,t07,42
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,96,0.777482778724758,0.67633763910206,42.042,t07,42
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,96,1.708756567743009,1.8104626614543022,0.342,t07,42
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,96,5.735851115048348,3.3669389392769036,0.19,t07,42
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,96,1.115453437545979,1.050114932262435,2.024,t07,42
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,96,134.46725336462976,131.5109405924963,1.244,t07,42
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,96,0.02416951436825672,0.026325929195622374,6.048,t07,42
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,96,0.014720549387266852,0.01729470043722624,28.376,t07,42
