task,task_type,metric,feature_mode,fingerprint,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec
bbbp,classification,auc,tanimoto,FP3,1,1631,204,204,0,96,0.8906701184904909,0.6490644290123457,0.529
bace,classification,auc,tanimoto,FP3,1,1210,151,152,0,96,0.6291208791208791,0.7636063293340288,0.396
clintox,classification,auc,tanimoto,FP3,2,1182,148,148,0,96,0.9504584030992482,0.9087434400305843,0.448
tox21,classification,auc,tanimoto,FP3,12,6264,783,784,0,96,0.6522747692340395,0.6062808805809762,2.297
toxcast,classification,auc,tanimoto,FP3,617,6860,858,858,0,96,0.6508558813585491,0.5693264434964326,35.78
sider,classification,auc,tanimoto,FP3,27,1141,143,143,0,96,0.64181668494732,0.5761571540654783,4.46
hiv,classification,auc,tanimoto,FP3,1,32901,4113,4113,0,96,0.6695938663531256,0.622856756600166,8.104
muv,classification,auc,tanimoto,FP3,17,74469,9309,9309,0,96,0.7918993955467916,0.5985838442627844,17.405
esol,regression,rmse,tanimoto,FP3,1,902,113,113,0,96,1.9431717443855083,2.106526139370364,0.166
freesolv,regression,rmse,tanimoto,FP3,1,513,64,65,0,66,5.849727570932106,3.8225900879059336,0.081
lipo,regression,rmse,tanimoto,FP3,1,3360,420,420,0,96,1.1626908137429042,1.0676844702578627,0.792
qm7dft,regression,mae,tanimoto,FP3,1,5464,685,681,0,96,138.75438822462453,143.73881610055903,0.649
qm8dft,regression,mae,tanimoto,FP3,12,17428,2179,2179,0,96,0.026523094631591516,0.027704741456867927,3.413
qm9dft,regression,mae,tanimoto,FP3,3,107108,13388,13389,0,96,0.02128596653425693,0.023737781944702444,14.022
