fingerprint,num_tasks,within_range_count,mean_normalized_score,mean_test_classification_auc,mean_test_regression_metric
FP4,14,7,-0.13081879104274516,0.6888942625916066,23.28391453358239
FP2,14,6,-0.22738250525995043,0.6604047024428162,20.76573047674539
MACCS,14,5,-0.2544904112827879,0.6591041773356645,21.682749161616133
FP3,14,5,-0.4780421736354021,0.6618274096728496,25.13117655358246
