benchmark,lit_min,lit_max,n_points
ESOL,0.79,1.27,1128
FreeSolv,1.48,5.06,642
Lipo,0.603,2.072,4200
QM7,41.8,113.2,6830
QM8,0.0156,0.0236,21786
QM9,0.00467,0.01037,133885
