task,task_type,metric,fingerprint,radius,fp_bits,use_chirality,n_targets,n_train,n_valid,n_test,n_feature_failures,valid,test,elapsed_sec,config_id,seed
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.5977428936021427,1.5807212130098078,0.258,c01,42
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.630102748982928,4.139644513245384,0.123,c01,42
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9987927612641045,0.9445101365319014,0.97,c01,42
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,123.01185533371907,134.92039610109828,0.498,c01,42
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.024225604683295595,0.02524728228695466,7.902,c01,42
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.014426026175858107,0.016163161040321436,15.585,c01,42
