task,target_index,metric,valid,test,config_id,seed
esol,0,rmse,1.5977428936021427,1.5807212130098078,c01,42
freesolv,0,rmse,5.630102748982928,4.139644513245384,c01,42
lipo,0,rmse,0.9987927612641045,0.9445101365319014,c01,42
qm7dft,0,mae,123.01185533371907,134.92039610109828,c01,42
qm8dft,0,mae,0.019076296153444524,0.017450314650980025,c01,42
qm8dft,1,mae,0.016299528016852628,0.015701263987808713,c01,42
qm8dft,2,mae,0.02263160139361175,0.026337519903326077,c01,42
qm8dft,3,mae,0.04682377565582452,0.044592935449663605,c01,42
qm8dft,4,mae,0.019989285463438065,0.01790792089176317,c01,42
qm8dft,5,mae,0.017652268020421642,0.01688292621359645,c01,42
qm8dft,6,mae,0.0173677343915892,0.02406977827654678,c01,42
qm8dft,7,mae,0.03556703563832514,0.037635107523094916,c01,42
qm8dft,8,mae,0.018765141838553333,0.01697329660438901,c01,42
qm8dft,9,mae,0.015760645354015845,0.015479617020163993,c01,42
qm8dft,10,mae,0.021847534902046963,0.027962882763496646,c01,42
qm8dft,11,mae,0.03892640937142353,0.04197382415862655,c01,42
qm9dft,0,mae,0.010425956922054001,0.011106907395965617,c01,42
qm9dft,1,mae,0.015331645983787388,0.017893069011109597,c01,42
qm9dft,2,mae,0.017520475621732933,0.01948950671388909,c01,42
