task,task_type,metric,feature_mode,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec
bbbp,classification,auc,tanimoto,1,1631,204,204,0,128,0.9132729264164094,0.5789930555555556,1.094
bace,classification,auc,tanimoto,1,1210,151,152,0,128,0.6344322344322344,0.8118588071639715,1.024
clintox,classification,auc,tanimoto,2,1182,148,148,0,128,0.8705973603860928,0.591124491710979,1.144
tox21,classification,auc,tanimoto,12,6264,783,784,0,128,0.7122262972210794,0.6905345241220587,6.323
toxcast,classification,auc,tanimoto,617,6860,858,858,0,128,0.6816454277830505,0.5804192012972481,2009.987
sider,classification,auc,tanimoto,27,1141,143,143,0,128,0.6420984111479394,0.6431246315807686,16.978
hiv,classification,auc,tanimoto,1,32901,4113,4113,0,128,0.7024774029982364,0.7332779698333302,24.603
muv,classification,auc,tanimoto,17,74469,9309,9309,0,128,0.8032516509268238,0.6321555850269525,62.826
esol,regression,rmse,tanimoto,1,902,113,113,0,128,1.7628358285272576,1.7204798793922986,0.863
freesolv,regression,rmse,tanimoto,1,513,64,65,0,128,5.260122821032559,3.2496747151412295,0.445
lipo,regression,rmse,tanimoto,1,3360,420,420,0,128,1.1267452776438325,1.0427178895959233,2.739
qm7dft,regression,mae,tanimoto,1,5464,685,681,0,128,122.13524385882579,116.68896494178477,1.837
qm8dft,regression,mae,tanimoto,12,17428,2179,2179,0,128,0.023592752550170643,0.025093646788714827,14.537
qm9dft,regression,mae,tanimoto,3,107108,13388,13389,0,128,0.014082346073160825,0.015942807038835573,34.434
