task,target_index,metric,valid,test,config_id,seed
esol,0,rmse,1.6920325756072998,1.605157494544983,x09,42
freesolv,0,rmse,5.534876823425293,4.136476993560791,x09,42
lipo,0,rmse,0.9440090656280518,0.9175241589546204,x09,42
qm7dft,0,mae,127.54737854003906,145.38674926757812,x09,42
qm8dft,0,mae,0.01814144290983677,0.01597321592271328,x09,42
qm8dft,1,mae,0.015730082988739014,0.01503189280629158,x09,42
qm8dft,2,mae,0.02228027768433094,0.026004422456026077,x09,42
qm8dft,3,mae,0.046619072556495667,0.044166166335344315,x09,42
qm8dft,4,mae,0.01891656592488289,0.016279034316539764,x09,42
qm8dft,5,mae,0.017008958384394646,0.01596662774682045,x09,42
qm8dft,6,mae,0.016850734129548073,0.022966688498854637,x09,42
qm8dft,7,mae,0.03505432605743408,0.037321727722883224,x09,42
qm8dft,8,mae,0.018021373078227043,0.01560215000063181,x09,42
qm8dft,9,mae,0.015341170132160187,0.014582447707653046,x09,42
qm8dft,10,mae,0.021424489095807076,0.02709769457578659,x09,42
qm8dft,11,mae,0.039005231112241745,0.0419187992811203,x09,42
qm9dft,0,mae,0.009750040248036385,0.010429858230054379,x09,42
qm9dft,1,mae,0.01353053841739893,0.015763988718390465,x09,42
qm9dft,2,mae,0.015810074284672737,0.01776225119829178,x09,42
