task,task_type,metric,feature_mode,fingerprint,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec,config_id,seed
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,128,0.9328885791098277,0.6858121141975309,1.163,t10,43
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,128,0.7254578754578754,0.7984698313336811,1.057,t10,43
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,128,0.9754013592041761,0.8550967921315122,1.011,t10,43
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,128,0.7302407756406645,0.671628845365157,5.348,t10,43
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,128,0.6848581171853465,0.5734728121628069,82.17,t10,43
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,128,0.6374441113031705,0.607083294748165,5.888,t10,43
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,128,0.7446799064275916,0.7211823326058827,19.649,t10,43
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,128,0.7664222841450561,0.6057713018873332,44.71,t10,43
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,128,1.739122424632741,1.8696287027615803,0.417,t10,43
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,128,5.72153632758814,3.417477523359709,0.209,t10,43
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,128,1.122291730964189,1.0528602214049416,2.232,t10,43
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,128,127.81868810180625,132.43206718715138,1.44,t10,43
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,128,0.0246748091208929,0.026516450414459016,7.393,t10,43
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,128,0.014320381314066344,0.016327524864153637,31.223,t10,43
