task,target_index,metric,valid,test,config_id,seed
bbbp,0,auc,0.9328885791098277,0.6858121141975309,t10,43
bace,0,auc,0.7254578754578754,0.7984698313336811,t10,43
clintox,0,auc,0.986013986013986,0.8377298161470823,t10,43
clintox,1,auc,0.9647887323943662,0.8724637681159421,t10,43
tox21,0,auc,0.8260436881126536,0.6937084564254062,t10,43
tox21,1,auc,0.8326578073089701,0.8407184258694326,t10,43
tox21,2,auc,0.758257686366618,0.7380353974824703,t10,43
tox21,3,auc,0.7694215259108186,0.6906998248004672,t10,43
tox21,4,auc,0.6841279990256972,0.6041706707668653,t10,43
tox21,5,auc,0.7645569620253164,0.6575218780386165,t10,43
tox21,6,auc,0.7589133089133089,0.5883188502673797,t10,43
tox21,7,auc,0.635202492211838,0.6211288231622413,t10,43
tox21,8,auc,0.6454927827167575,0.603243670886076,t10,43
tox21,9,auc,0.6784965034965035,0.6511516314779271,t10,43
tox21,10,auc,0.7325873088584953,0.703597354813047,t10,43
tox21,11,auc,0.6771312427409988,0.6672511603919546,t10,43
toxcast,0,auc,0.6532894736842105,0.5849497126436781,t10,43
toxcast,1,auc,0.6600580270793037,0.5217264508603091,t10,43
toxcast,2,auc,0.5935613682092555,0.430952380952381,t10,43
toxcast,3,auc,0.6585365853658537,0.38346883468834686,t10,43
toxcast,4,auc,0.5618022328548644,0.4678030303030303,t10,43
toxcast,5,auc,0.5484848484848485,0.5344387755102041,t10,43
toxcast,6,auc,0.48940914158305465,0.5504495504495505,t10,43
toxcast,7,auc,0.7051282051282052,0.5269320843091335,t10,43
toxcast,8,auc,0.6386666666666667,0.48514851485148514,t10,43
toxcast,9,auc,0.6461038961038961,0.4254742547425474,t10,43
toxcast,10,auc,0.8174044265593562,0.5476923076923077,t10,43
toxcast,11,auc,0.7019047619047619,0.6722488038277512,t10,43
toxcast,12,auc,0.4523809523809524,0.7,t10,43
toxcast,13,auc,0.6296068796068796,0.4414390756302521,t10,43
toxcast,14,auc,0.6666666666666666,0.44764957264957267,t10,43
toxcast,15,auc,0.8375,0.6768707482993197,t10,43
toxcast,16,auc,0.6120414673046252,0.5587951030927835,t10,43
toxcast,17,auc,0.5503685503685504,0.4502923976608187,t10,43
toxcast,18,auc,0.6830357142857143,0.5138530927835051,t10,43
toxcast,19,auc,0.6060606060606061,0.6281012658227848,t10,43
toxcast,20,auc,0.9938271604938271,0.5894308943089431,t10,43
toxcast,21,auc,0.6867469879518072,0.35365853658536583,t10,43
toxcast,22,auc,0.5481927710843374,0.16141732283464566,t10,43
toxcast,23,auc,0.6921458625525947,0.5542929292929293,t10,43
toxcast,24,auc,0.5648631029986962,0.4597883597883598,t10,43
toxcast,25,auc,0.8409090909090909,0.5425531914893617,t10,43
toxcast,26,auc,0.89375,0.4926810477657935,t10,43
toxcast,27,auc,0.7083333333333334,0.6368421052631579,t10,43
toxcast,28,auc,0.62106135986733,0.6216407355021216,t10,43
toxcast,29,auc,0.5761538461538461,0.6003039513677811,t10,43
toxcast,30,auc,0.7148148148148148,0.4744897959183674,t10,43
toxcast,31,auc,0.6481481481481481,0.6653846153846154,t10,43
toxcast,32,auc,0.67578125,0.45454545454545453,t10,43
toxcast,33,auc,0.8736842105263158,0.38974358974358975,t10,43
toxcast,34,auc,0.775,0.6734449760765551,t10,43
toxcast,35,auc,0.6888888888888889,0.6818181818181818,t10,43
toxcast,36,auc,0.6148148148148148,0.47072072072072074,t10,43
toxcast,37,auc,0.7,0.5358851674641149,t10,43
toxcast,38,auc,0.59765625,0.7208333333333333,t10,43
toxcast,39,auc,0.7109375,0.38963963963963966,t10,43
toxcast,40,auc,0.7380952380952381,0.3472222222222222,t10,43
toxcast,41,auc,0.8295454545454546,0.4418604651162791,t10,43
toxcast,42,auc,0.8526315789473684,0.46124031007751937,t10,43
toxcast,43,auc,0.7727272727272727,0.5579710144927537,t10,43
toxcast,44,auc,0.6375,0.5777777777777777,t10,43
toxcast,45,auc,0.6758503401360544,0.3576108870967742,t10,43
toxcast,46,auc,0.6416118421052631,0.5499528404556338,t10,43
toxcast,47,auc,0.6648477157360406,0.5146482552715059,t10,43
toxcast,48,auc,0.7056603773584905,0.781496062992126,t10,43
toxcast,49,auc,0.6836854460093896,0.656496062992126,t10,43
toxcast,50,auc,0.9657320872274143,0.5203187250996016,t10,43
toxcast,51,auc,0.6836349924585219,0.5611530172413793,t10,43
toxcast,52,auc,0.7131519274376418,0.684368932038835,t10,43
toxcast,53,auc,0.6516148325358851,0.7369420702754036,t10,43
toxcast,54,auc,0.6730835934790149,0.6670193070616239,t10,43
toxcast,55,auc,0.5614316239316239,0.7223805001582779,t10,43
toxcast,56,auc,0.6913145539906104,0.41434262948207173,t10,43
toxcast,57,auc,0.7065446868402533,0.460724043715847,t10,43
toxcast,58,auc,0.6423213831680651,0.5944302721088436,t10,43
toxcast,59,auc,0.8278301886792453,0.7127799736495388,t10,43
toxcast,60,auc,0.7238120013874436,0.6339343805186356,t10,43
toxcast,61,auc,0.7270531400966184,0.49266666666666664,t10,43
toxcast,62,auc,0.635254749568221,0.6987071751777634,t10,43
toxcast,63,auc,0.6273796192609182,0.6575484516913395,t10,43
toxcast,64,auc,0.7183673469387755,0.6547619047619048,t10,43
toxcast,65,auc,0.7648514851485149,0.5085365853658537,t10,43
toxcast,66,auc,0.6374436351023239,0.6650406504065041,t10,43
toxcast,67,auc,0.6274390243902439,0.5383077948034644,t10,43
toxcast,68,auc,0.6567930489731437,0.7038690476190477,t10,43
toxcast,69,auc,0.6526360544217688,0.6041620626151013,t10,43
toxcast,70,auc,0.6519679300291545,0.5402025957581513,t10,43
