task,target_index,metric,valid,test,config_id,seed
bbbp,0,auc,0.9379667430050782,0.6851851851851852,x04,42
bace,0,auc,0.778021978021978,0.6732742131803164,x04,42
clintox,0,auc,0.9398601398601398,0.8641087130295764,x04,42
clintox,1,auc,0.9530516431924883,0.8565217391304348,x04,42
tox21,0,auc,0.847813106433796,0.7727104874446086,x04,42
tox21,1,auc,0.8041196013289037,0.8666488712629652,x04,42
tox21,2,auc,0.8104699633932161,0.8261383796570076,x04,42
tox21,3,auc,0.7604060443125985,0.699046135876971,x04,42
tox21,4,auc,0.680915844598709,0.6832459295461409,x04,42
tox21,5,auc,0.8348364978902953,0.6211626614807613,x04,42
tox21,6,auc,0.734981684981685,0.6092914438502673,x04,42
tox21,7,auc,0.7525700934579439,0.6760520993836672,x04,42
tox21,8,auc,0.7245961189178854,0.7340673347398031,x04,42
tox21,9,auc,0.7811625874125874,0.7072742474916388,x04,42
tox21,10,auc,0.8119887441921341,0.7967258353221957,x04,42
tox21,11,auc,0.7378745644599303,0.7558793192367199,x04,42
toxcast,0,auc,0.6478618421052632,0.5973419540229885,x04,42
toxcast,1,auc,0.745164410058027,0.5640128317293671,x04,42
toxcast,2,auc,0.5608651911468813,0.5545634920634921,x04,42
toxcast,3,auc,0.6727642276422764,0.6151761517615176,x04,42
toxcast,4,auc,0.5175438596491229,0.5628156565656566,x04,42
toxcast,5,auc,0.6048484848484849,0.5122448979591837,x04,42
toxcast,6,auc,0.5936454849498328,0.6033966033966034,x04,42
toxcast,7,auc,0.7298534798534798,0.5339578454332553,x04,42
toxcast,8,auc,0.5546666666666666,0.611032531824611,x04,42
toxcast,9,auc,0.7792207792207793,0.44173441734417346,x04,42
toxcast,10,auc,0.6509054325955734,0.6313461538461539,x04,42
toxcast,11,auc,0.6104761904761905,0.5813397129186603,x04,42
toxcast,12,auc,1.0,0.6112903225806452,x04,42
toxcast,13,auc,0.5872235872235873,0.5630252100840336,x04,42
toxcast,14,auc,0.8734567901234568,0.6221509971509972,x04,42
toxcast,15,auc,0.74375,0.5748299319727891,x04,42
toxcast,16,auc,0.6283891547049442,0.6130798969072165,x04,42
toxcast,17,auc,0.45454545454545453,0.5187134502923977,x04,42
toxcast,18,auc,0.6994047619047619,0.5911726804123711,x04,42
toxcast,19,auc,0.6345454545454545,0.5918987341772152,x04,42
toxcast,20,auc,0.9012345679012346,0.7018970189701897,x04,42
toxcast,21,auc,0.37349397590361444,0.3699186991869919,x04,42
toxcast,22,auc,0.8463855421686747,0.10236220472440945,x04,42
toxcast,23,auc,0.6798737727910238,0.5432449494949495,x04,42
toxcast,24,auc,0.6277705345501956,0.5928571428571429,x04,42
toxcast,25,auc,0.8181818181818182,0.648936170212766,x04,42
toxcast,26,auc,0.7625,0.49614791987673346,x04,42
toxcast,27,auc,0.5998931623931624,0.4921052631578947,x04,42
toxcast,28,auc,0.6368159203980099,0.5838048090523338,x04,42
toxcast,29,auc,0.6123076923076923,0.6483282674772036,x04,42
toxcast,30,auc,0.4740740740740741,0.4370748299319728,x04,42
toxcast,31,auc,0.39351851851851855,0.4230769230769231,x04,42
toxcast,32,auc,0.5703125,0.6303827751196173,x04,42
toxcast,33,auc,0.6578947368421053,0.4012820512820513,x04,42
toxcast,34,auc,0.6,0.6196172248803827,x04,42
toxcast,35,auc,0.8148148148148148,0.7320574162679426,x04,42
toxcast,36,auc,0.6592592592592592,0.4177927927927928,x04,42
toxcast,37,auc,0.5714285714285714,0.38995215311004783,x04,42
toxcast,38,auc,0.44921875,0.6125,x04,42
toxcast,39,auc,0.6796875,0.5788288288288288,x04,42
toxcast,40,auc,0.7380952380952381,0.4875,x04,42
toxcast,41,auc,0.4431818181818182,0.6104651162790697,x04,42
toxcast,42,auc,0.6631578947368421,0.624031007751938,x04,42
toxcast,43,auc,0.875,0.34782608695652173,x04,42
toxcast,44,auc,0.475,0.48055555555555557,x04,42
toxcast,45,auc,0.5299319727891156,0.5627520161290323,x04,42
toxcast,46,auc,0.5939692982456141,0.5560473046506567,x04,42
toxcast,47,auc,0.73248730964467,0.5133420414256391,x04,42
toxcast,48,auc,0.7660377358490567,0.7578740157480315,x04,42
