task,task_type,metric,fingerprint,radius,fp_bits,use_chirality,n_targets,n_train,n_valid,n_test,n_feature_failures,valid,test,elapsed_sec,config_id,seed
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6767805814743042,1.6189188957214355,0.584,x04,42
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.551970958709717,4.069344997406006,0.449,x04,42
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9343989491462708,0.8893521428108215,2.523,x04,42
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,129.488525390625,150.01821899414062,0.695,x04,42
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.022643944714218378,0.02364280524974068,48.007,x04,42
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.011758103966712952,0.01334873183319966,84.361,x04,42
