config_id,num_tasks,within_range_count,mean_normalized_score,mean_norm_classification,mean_norm_regression
c2,14,5,-0.17441000321733238,-0.18704124476126852,-0.15756834782541754
c3,14,6,-0.22738250525995043,-0.20737826637884424,-0.25405482376809196
c1,14,4,-0.29243684221568195,-0.29006138653760866,-0.295604116453113
