task,benchmark,kind,metric,test_value,lit_min,lit_max,within_range,normalized_score,gap_to_best_lit
bbbp,BBBP,classification,auc,0.5789930555555556,0.643,0.729,False,-0.7442667958656333,0.1500069444444444
bace,BACE,classification,auc,0.8118588071639715,0.779,0.857,True,0.42126675851245526,0.045141192836028465
clintox,ClinTox,classification,auc,0.591124491710979,0.726,0.919,False,-0.6988368305130617,0.327875508289021
tox21,Tox21,classification,auc,0.6905345241220587,0.735,0.796,False,-0.728942227507233,0.1054654758779413
toxcast,ToxCast,classification,auc,0.5804192012972481,0.631,0.696,False,-0.7781661338884913,0.11558079870275184
sider,SIDER,classification,auc,0.6431246315807686,0.57,0.672,True,0.7169081527526332,0.02887536841923144
hiv,HIV,classification,auc,0.7332779698333302,0.625,0.808,True,0.591682895264099,0.0747220301666699
muv,MUV,classification,auc,0.6321555850269525,0.673,0.821,False,-0.27597577684491625,0.1888444149730475
esol,ESOL,regression,rmse,1.7204798793922986,0.79,1.27,False,-0.9384997487339555,0.9304798793922986
freesolv,FreeSolv,regression,rmse,3.2496747151412295,1.48,5.06,True,0.5056774538711649,1.7696747151412295
lipo,Lipo,regression,rmse,1.0427178895959233,0.603,2.072,True,0.7006685571164579,0.4397178895959233
qm7dft,QM7,regression,mae,116.68896494178477,41.8,113.2,False,-0.04886505520706964,74.88896494178478
qm8dft,QM8,regression,mae,0.025093646788714827,0.0156,0.0236,False,-0.1867058485893534,0.009493646788714828
qm9dft,QM9,regression,mae,0.015942807038835573,0.00467,0.01037,False,-0.9776854454097494,0.011272807038835573
