task,benchmark,kind,metric,test_value,lit_min,lit_max,within_range,normalized_score,gap_to_best_lit
bbbp,BBBP,classification,auc,0.5838638117283951,0.643,0.729,False,-0.6876300961814531,0.1451361882716049
bace,BACE,classification,auc,0.7885585115632064,0.779,0.857,True,0.12254502004110798,0.06844148843679354
clintox,ClinTox,classification,auc,0.6588038265040141,0.726,0.919,False,-0.34816670205173994,0.2601961734959859
tox21,Tox21,classification,auc,0.6826202159836376,0.735,0.796,False,-0.8586849838747918,0.1133797840163624
toxcast,ToxCast,classification,auc,0.5751754429524869,0.631,0.696,False,-0.85883933919251,0.12082455704751305
sider,SIDER,classification,auc,0.6347487835209032,0.57,0.672,True,0.6347919953029729,0.037251216479096794
hiv,HIV,classification,auc,0.6856370343189324,0.625,0.808,True,0.331349914311106,0.12236296568106764
muv,MUV,classification,auc,0.673829992970954,0.673,0.821,True,0.00560806061455396,0.14717000702904592
esol,ESOL,regression,rmse,1.809640201485096,0.79,1.27,False,-1.124250419760617,1.019640201485096
freesolv,FreeSolv,regression,rmse,3.3897592006518886,1.48,5.06,True,0.46654770931511486,1.9097592006518886
lipo,Lipo,regression,rmse,1.0617158818592862,0.603,2.072,True,0.687735955167266,0.45871588185928625
qm7dft,QM7,regression,mae,118.29016407755798,41.8,113.2,False,-0.07129081341117607,76.49016407755798
qm8dft,QM8,regression,mae,0.02596518986693876,0.0156,0.0236,False,-0.29564873336734504,0.01036518986693876
qm9dft,QM9,regression,mae,0.01713830905114523,0.00467,0.01037,False,-1.1874226405517947,0.01246830905114523
