task,task_type,metric,feature_mode,fingerprint,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec,config_id,seed
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,128,0.9406551827143284,0.6762635030864198,1.097,t08,42
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,128,0.6939560439560439,0.8069031472787341,0.99,t08,42
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,128,0.9367288814471914,0.8894319327146978,1.023,t08,42
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,128,0.7191845699544541,0.6794799023504859,4.847,t08,42
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,128,0.691800197367467,0.5774594354201112,73.878,t08,42
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,128,0.6266652247406548,0.6112886463407959,4.546,t08,42
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,128,0.696090228786988,0.7311902508739064,18.194,t08,42
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,128,0.7582739081925294,0.6586498253040965,42.66,t08,42
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,128,1.7005897224009532,1.8553324858176947,0.357,t08,42
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,128,5.897582871415851,3.3476718256315117,0.173,t08,42
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,128,1.1105483419389122,1.045209874429294,2.048,t08,42
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,128,135.19774587727176,141.88394323641563,1.293,t08,42
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,128,0.024088851425232486,0.02606735591000367,6.483,t08,42
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,128,0.014431259923077628,0.016870447944867573,29.075,t08,42
