task,task_type,metric,feature_mode,fingerprint,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec,config_id,seed
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,64,0.9290052773075774,0.6710551697530864,1.009,t06,42
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,64,0.7311355311355311,0.8021213701964875,0.916,t06,42
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,64,0.9311976755638727,0.8140644006533904,0.887,t06,42
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,64,0.7240457432589729,0.6663330615854499,3.986,t06,42
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,64,0.6909348092415356,0.5709414542897406,44.397,t06,42
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,64,0.6326241365751069,0.6114626539799836,3.178,t06,42
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,64,0.6778258499902018,0.7024469379478167,17.94,t06,42
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,64,0.7809944912741281,0.6806648782234205,41.007,t06,42
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,64,1.6927903602264487,1.8512834059493872,0.316,t06,42
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,64,5.882734455597684,3.4148126648119055,0.148,t06,42
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,64,1.1184301198106545,1.0485671496808564,1.959,t06,42
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,64,134.1071312648351,134.53817631522918,1.2,t06,42
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,64,0.02452628221907924,0.026647897116306496,5.356,t06,42
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,64,0.015681294357688443,0.01833824218381355,27.284,t06,42
