task,task_type,metric,feature_mode,fingerprint,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec,config_id,seed
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,64,0.9322911480633277,0.677710262345679,1.083,t01,42
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,64,0.7014652014652014,0.790471222396105,0.906,t01,42
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,64,0.9440592271578188,0.7930577277308588,0.855,t01,42
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,64,0.6984001720352951,0.6650863517569505,3.595,t01,42
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,64,0.6806360111849717,0.5815016156112084,30.107,t01,42
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,64,0.6293315678928876,0.6032669170458038,2.374,t01,42
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,64,0.6569817999216148,0.6700815002220978,18.339,t01,42
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,64,0.7936417062717827,0.6598577080411125,40.759,t01,42
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,64,1.699326041799959,1.8789501704264369,0.305,t01,42
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,64,5.860364413290676,3.4337913342084163,0.136,t01,42
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,64,1.1382222051020987,1.05931250119399,1.939,t01,42
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,64,134.009692391205,135.72811826730828,1.189,t01,42
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,64,0.02500325020563349,0.027001023017873896,4.858,t01,42
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,64,0.016752848939580945,0.019341858707301447,26.865,t01,42
