task,task_type,metric,feature_mode,fingerprint,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec,config_id,seed
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,96,0.9372697401174948,0.669897762345679,1.065,t09,42
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,96,0.7058608058608059,0.816205877238741,0.971,t09,42
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,96,0.9562461013165238,0.8372945122163139,0.937,t09,42
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,96,0.7084839549156445,0.6766283829589831,4.672,t09,42
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,96,0.6898362707640061,0.5739112676204958,59.794,t09,42
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,96,0.6479873244044988,0.6107974344596572,4.19,t09,42
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,96,0.7091324955908289,0.7181405589138454,18.071,t09,42
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,96,0.7902079903854167,0.6596903165941365,41.672,t09,42
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,96,1.7024823803243614,1.8330209269085747,0.347,t09,42
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,96,5.687900960721241,3.3160194128422593,0.169,t09,42
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,96,1.1130211043949707,1.051218455544815,2.02,t09,42
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,96,134.63435778897534,131.87780309003074,1.237,t09,42
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,96,0.024210270128820863,0.026337814914248508,6.252,t09,42
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,96,0.014609943577078552,0.017227221175329873,28.34,t09,42
