task,task_type,metric,fingerprint,radius,fp_bits,use_chirality,n_targets,n_train,n_valid,n_test,n_feature_failures,valid,test,elapsed_sec,config_id,seed
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6177587774633149,1.623513032371069,1.128,c07,42
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.503011674897895,4.109013327663745,1.079,c07,42
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9465991878169233,0.9000571061507988,13.205,c07,42
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,125.53352909825483,139.23272518535157,1.082,c07,42
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.02307119061404934,0.024193907562529357,74.942,c07,42
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.012581795979797203,0.01423809809752966,171.029,c07,42
