task,benchmark,task_type,metric,mean_test,sd_test,n_runs
esol,ESOL,regression,rmse,1.6084860030692554,0.010486500285644901,5
freesolv,FreeSolv,regression,rmse,4.130526020588493,0.02494613385801676,5
lipo,Lipo,regression,rmse,0.8946968075945908,0.0023137607563340074,5
qm7dft,QM7,regression,mae,140.29059409579992,2.954732507080347,5
qm8dft,QM8,regression,mae,0.024181057516023938,3.496456916084533e-05,5
qm9dft,QM9,regression,mae,0.014171008218865197,2.2760716298113372e-05,5
