task,task_type,metric,fingerprint,radius,fp_bits,use_chirality,n_targets,n_train,n_valid,n_test,n_feature_failures,valid,test,elapsed_sec,config_id,seed
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6653120517730713,1.62363862991333,0.412,x01,42
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.621715545654297,4.092514514923096,0.237,x01,42
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.95189368724823,0.9220976829528809,1.456,x01,42
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,128.5236053466797,143.2924041748047,0.557,x01,42
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.02368409838527441,0.024507273997490604,24.606,x01,42
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.01322756273051103,0.014859787498911222,45.311,x01,42
