seed,config_id,within_range_count,mean_normalized_score,mean_norm_regression,elapsed_sec_total
42,x07,3,-0.05666553224130012,-0.05666553224130012,111.251
43,x07,3,-0.07938146110135587,-0.07938146110135587,111.571
44,x07,3,-0.08025424281759164,-0.08025424281759164,108.298
45,x07,3,-0.0700899097265056,-0.0700899097265056,109.437
46,x07,3,-0.07899509160884205,-0.07899509160884205,110.465
