task,benchmark,task_type,metric,mean_test,sd_test,n_runs
esol,ESOL,regression,rmse,1.5624554634094239,0.018697109859453852,5
freesolv,FreeSolv,regression,rmse,3.9671366214752197,0.023541594025669067,5
lipo,Lipo,regression,rmse,0.8640734553337097,0.005058501928276091,5
qm7dft,QM7,regression,mae,155.50159912109376,3.324436526951423,5
qm8dft,QM8,regression,mae,0.023410453073059518,5.3018766405637446e-05,5
qm9dft,QM9,regression,mae,0.01258138610670964,3.3589772384357265e-05,5
