task,task_type,metric,feature_mode,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec
bbbp,classification,auc,tanimoto,1,1631,204,204,0,64,0.908493478044409,0.5913387345679012,0.786
bace,classification,auc,tanimoto,1,1210,151,152,0,64,0.6025641025641025,0.7681272822117893,0.706
clintox,classification,auc,tanimoto,2,1182,148,148,0,64,0.7330805344889852,0.655841848260522,0.583
tox21,classification,auc,tanimoto,12,6264,783,784,0,64,0.694899949666393,0.6902213476558171,2.672
toxcast,classification,auc,tanimoto,617,6860,858,858,0,64,0.6719410016557805,0.577306055062129,29.079
sider,classification,auc,tanimoto,27,1141,143,143,0,64,0.6250663753062867,0.6108696727062433,1.685
hiv,classification,auc,tanimoto,1,32901,4113,4113,0,64,0.6653684107387811,0.6572172116108848,15.435
muv,classification,auc,tanimoto,17,74469,9309,9309,0,64,0.7949780937158425,0.6384467967828792,37.525
esol,regression,rmse,tanimoto,1,902,113,113,0,64,1.8636650230731138,1.7559824392133387,0.24
freesolv,regression,rmse,tanimoto,1,513,64,65,0,64,5.416412172628106,3.6341421945773473,0.101
lipo,regression,rmse,tanimoto,1,3360,420,420,0,64,1.1605701138139315,1.0866727910568919,1.737
qm7dft,regression,mae,tanimoto,1,5464,685,681,0,64,122.0970172286274,118.51518976614416,0.732
qm8dft,regression,mae,tanimoto,12,17428,2179,2179,0,64,0.025222402683260193,0.026656725917438024,3.623
qm9dft,regression,mae,tanimoto,3,107108,13388,13389,0,64,0.016401992648966923,0.01819985813679695,19.437
