task,task_type,metric,feature_mode,fingerprint,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec,config_id,seed
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,128,0.9287065617843274,0.6760706018518519,1.27,t10,45
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,128,0.6886446886446886,0.8062945574682664,1.14,t10,45
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,128,0.9520256738566597,0.7427223438640392,1.088,t10,45
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,128,0.7195563152396375,0.6806671907633083,6.03,t10,45
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,128,0.69477791131929,0.5748984973363992,93.735,t10,45
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,128,0.6550693795369554,0.6292161511334794,5.555,t10,45
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,128,0.7192644032921811,0.7286428861121304,18.939,t10,45
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,128,0.7682463887877993,0.6774434682465232,45.139,t10,45
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,128,1.671720864445771,1.7551038308718254,0.44,t10,45
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,128,5.782047575939919,3.392266186194249,0.207,t10,45
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,128,1.1194161931624833,1.0514053545947044,2.214,t10,45
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,128,126.66960882105866,129.20385731112074,1.419,t10,45
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,128,0.024587380671885855,0.026199471431330043,7.462,t10,45
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,128,0.014912220087974397,0.01679270446637295,30.471,t10,45
