task,task_type,metric,feature_mode,fingerprint,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec,config_id,seed
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,80,0.9395598924624117,0.6695119598765432,0.995,t11,42
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,80,0.7527472527472527,0.7313510693792384,0.889,t11,42
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,80,0.9625398076102301,0.7655340944635596,0.847,t11,42
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,80,0.7154390249575994,0.6747715413046792,3.941,t11,42
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,80,0.6991521074825858,0.5738676546827143,39.722,t11,42
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,80,0.6432420186341483,0.6037304633511646,2.821,t11,42
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,80,0.6835531795022536,0.7202939415593194,17.846,t11,42
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,80,0.7857330158237633,0.6746102827355845,40.757,t11,42
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,80,1.723755357279467,1.8839086424323264,0.309,t11,42
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,80,5.818206824207018,3.3934419280915717,0.144,t11,42
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,80,1.1232729568908333,1.0488358263566482,1.952,t11,42
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,80,134.98793882179433,141.0527067512052,1.216,t11,42
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,80,0.024363717134991567,0.026491492614554964,5.369,t11,42
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,80,0.015476922341226175,0.017780863782423235,27.248,t11,42
