task,task_type,metric,fingerprint,radius,fp_bits,use_chirality,n_targets,n_train,n_valid,n_test,n_feature_failures,valid,test,elapsed_sec,config_id,seed
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6193209472794008,1.5983478633138208,0.531,c08,42
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.555731574144817,4.117069682303996,0.384,c08,42
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9694044317823253,0.9139011445614138,2.878,c08,42
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,123.18688075357498,134.65339661765228,0.813,c08,42
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.02369329267312791,0.02473802783361662,22.29,c08,42
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.01339121228244297,0.015002005979089605,41.643,c08,42
