task,task_type,metric,fingerprint,radius,fp_bits,use_chirality,n_targets,n_train,n_valid,n_test,n_feature_failures,valid,test,elapsed_sec,config_id,seed
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6974843740463257,1.6657850742340088,0.715,x08,42
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.485804080963135,4.097350597381592,0.682,x08,42
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9529463052749634,0.91070955991745,3.282,x08,42
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,129.37461853027344,153.0107421875,0.942,x08,42
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.022845037514343858,0.02372794132679701,74.049,x08,42
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.01193251833319664,0.01353035494685173,111.758,x08,42
