task,target_index,metric,valid,test,config_id,seed
bbbp,0,auc,0.9420491884894951,0.6879340277777778,t03,42
bace,0,auc,0.7009157509157509,0.7932533472439576,t03,42
clintox,0,auc,0.9272727272727272,0.86810551558753,t03,42
clintox,1,auc,0.9213615023474179,0.8615942028985507,t03,42
tox21,0,auc,0.7883266159128228,0.7371676514032496,t03,42
tox21,1,auc,0.7627242524916944,0.8828553996339231,t03,42
tox21,2,auc,0.7610296451469561,0.7687019515079835,t03,42
tox21,3,auc,0.808959859089645,0.7082684446174811,t03,42
tox21,4,auc,0.6924552429667519,0.565758765547349,t03,42
tox21,5,auc,0.7643987341772152,0.6392207251007085,t03,42
tox21,6,auc,0.7287545787545787,0.704879679144385,t03,42
tox21,7,auc,0.6333333333333333,0.6253781149469438,t03,42
tox21,8,auc,0.6155721250358475,0.6289117440225035,t03,42
tox21,9,auc,0.684527972027972,0.6363807060001669,t03,42
tox21,10,auc,0.7248653011364876,0.6665547931583135,t03,42
tox21,11,auc,0.6407084785133565,0.6423414130995359,t03,42
toxcast,0,auc,0.6115131578947368,0.5474137931034483,t03,42
toxcast,1,auc,0.6818181818181818,0.6240886555847186,t03,42
toxcast,2,auc,0.6519114688128773,0.3984126984126984,t03,42
toxcast,3,auc,0.5853658536585366,0.47831978319783197,t03,42
toxcast,4,auc,0.5701754385964912,0.5280934343434344,t03,42
toxcast,5,auc,0.5757575757575758,0.5348214285714286,t03,42
toxcast,6,auc,0.5128205128205128,0.6133866133866134,t03,42
toxcast,7,auc,0.6483516483516484,0.6604215456674473,t03,42
toxcast,8,auc,0.6426666666666667,0.516973125884017,t03,42
toxcast,9,auc,0.6363636363636364,0.5345528455284553,t03,42
toxcast,10,auc,0.641851106639839,0.5351923076923077,t03,42
toxcast,11,auc,0.7528571428571429,0.5741626794258373,t03,42
toxcast,12,auc,0.6666666666666666,0.4435483870967742,t03,42
toxcast,13,auc,0.6597051597051597,0.6271008403361344,t03,42
toxcast,14,auc,0.6111111111111112,0.4821937321937322,t03,42
toxcast,15,auc,0.825,0.5578231292517006,t03,42
toxcast,16,auc,0.6076555023923444,0.5982603092783505,t03,42
toxcast,17,auc,0.6265356265356266,0.5269005847953216,t03,42
toxcast,18,auc,0.7120535714285714,0.5215850515463918,t03,42
toxcast,19,auc,0.6284848484848485,0.6716455696202531,t03,42
toxcast,20,auc,0.8919753086419753,0.6395663956639567,t03,42
toxcast,21,auc,0.7469879518072289,0.6070460704607046,t03,42
toxcast,22,auc,0.6626506024096386,0.40551181102362205,t03,42
toxcast,23,auc,0.6577840112201964,0.5623421717171717,t03,42
toxcast,24,auc,0.6251629726205997,0.5642857142857143,t03,42
toxcast,25,auc,0.8409090909090909,0.5425531914893617,t03,42
toxcast,26,auc,0.845,0.4973035439137134,t03,42
toxcast,27,auc,0.6463675213675214,0.5799043062200957,t03,42
toxcast,28,auc,0.6633499170812603,0.5846888260254597,t03,42
toxcast,29,auc,0.5876923076923077,0.5667173252279635,t03,42
toxcast,30,auc,0.8148148148148148,0.5782312925170068,t03,42
toxcast,31,auc,0.8148148148148148,0.6051282051282051,t03,42
toxcast,32,auc,0.890625,0.5825358851674641,t03,42
toxcast,33,auc,0.8421052631578947,0.3384615384615385,t03,42
toxcast,34,auc,0.8857142857142857,0.5406698564593302,t03,42
toxcast,35,auc,0.7185185185185186,0.6710526315789473,t03,42
toxcast,36,auc,0.6666666666666666,0.5472972972972973,t03,42
toxcast,37,auc,0.7571428571428571,0.5454545454545454,t03,42
toxcast,38,auc,0.640625,0.7916666666666666,t03,42
toxcast,39,auc,0.859375,0.43243243243243246,t03,42
toxcast,40,auc,0.6666666666666666,0.4777777777777778,t03,42
toxcast,41,auc,0.9545454545454546,0.6841085271317829,t03,42
toxcast,42,auc,0.8210526315789474,0.5562015503875969,t03,42
toxcast,43,auc,0.9545454545454546,0.6666666666666666,t03,42
toxcast,44,auc,0.95,0.43333333333333335,t03,42
toxcast,45,auc,0.6602040816326531,0.7326108870967742,t03,42
toxcast,46,auc,0.634813596491228,0.5424798665022129,t03,42
toxcast,47,auc,0.7239847715736041,0.5030789326366859,t03,42
toxcast,48,auc,0.7764150943396226,0.8720472440944882,t03,42
toxcast,49,auc,0.528169014084507,0.19291338582677164,t03,42
toxcast,50,auc,0.9517133956386293,0.6247011952191235,t03,42
toxcast,51,auc,0.6870286576168929,0.5408584770114943,t03,42
toxcast,52,auc,0.6912320483749055,0.6871844660194175,t03,42
toxcast,53,auc,0.6743421052631579,0.6457739791073125,t03,42
toxcast,54,auc,0.6330211585154353,0.6271709424314555,t03,42
toxcast,55,auc,0.6714743589743589,0.7879075656853435,t03,42
toxcast,56,auc,0.6367370892018779,0.45657370517928286,t03,42
toxcast,57,auc,0.7297677691766362,0.444672131147541,t03,42
toxcast,58,auc,0.6340579710144928,0.5889880952380953,t03,42
toxcast,59,auc,0.7726415094339623,0.6877470355731226,t03,42
toxcast,60,auc,0.7222511272979535,0.638209870805837,t03,42
toxcast,61,auc,0.7190821256038648,0.43433333333333335,t03,42
toxcast,62,auc,0.6808074265975821,0.6465416936005172,t03,42
toxcast,63,auc,0.6046099290780141,0.6113494958163485,t03,42
toxcast,64,auc,0.7136054421768707,0.5198412698412699,t03,42
toxcast,65,auc,0.6501650165016502,0.5126016260162601,t03,42
toxcast,66,auc,0.6280783905653833,0.6590148254423721,t03,42
toxcast,67,auc,0.5900406504065041,0.5540750610703975,t03,42
toxcast,68,auc,0.7756714060031595,0.6800595238095238,t03,42
toxcast,69,auc,0.67182944606414,0.6093186003683241,t03,42
toxcast,70,auc,0.6884110787172012,0.4930357708135486,t03,42
toxcast,71,auc,0.6147798742138365,0.5870697463768116,t03,42
toxcast,72,auc,0.6613849765258216,0.5111553784860557,t03,42
toxcast,73,auc,0.6641509433962264,0.6929133858267716,t03,42
toxcast,74,auc,nan,0.22941176470588234,t03,42
toxcast,75,auc,0.6931789737171464,0.6501130710085934,t03,42
toxcast,76,auc,0.5900971210544571,0.47340898976412993,t03,42
toxcast,77,auc,0.561698717948718,0.5245934959349593,t03,42
toxcast,78,auc,0.6294524189261032,0.5193979933110368,t03,42
toxcast,79,auc,0.6651090342679128,0.9568627450980393,t03,42
toxcast,80,auc,0.6765700483091788,0.48366533864541833,t03,42
toxcast,81,auc,0.42547169811320756,0.32766666666666666,t03,42
toxcast,82,auc,0.584518167456556,0.5713797814207651,t03,42
toxcast,83,auc,0.5409240924092409,0.5046685340802988,t03,42
toxcast,84,auc,0.8476415094339622,0.2901960784313726,t03,42
toxcast,85,auc,0.5731382978723404,0.699497487437186,t03,42
toxcast,86,auc,0.5818840579710145,0.48645640074211505,t03,42
toxcast,87,auc,0.6808846761453397,0.3169291338582677,t03,42
toxcast,88,auc,0.7429577464788732,0.7852437417654808,t03,42
toxcast,89,auc,0.6581156716417911,0.49222999222999225,t03,42
toxcast,90,auc,0.5432343234323432,0.52734375,t03,42
toxcast,91,auc,0.6042654028436019,0.7670682730923695,t03,42
toxcast,92,auc,0.2837209302325581,0.689484126984127,t03,42
toxcast,93,auc,0.8357030015797788,0.6600302419354839,t03,42
toxcast,94,auc,0.7614356087262492,0.5913118385429486,t03,42
toxcast,95,auc,0.6416012558869701,0.5663952962460426,t03,42
toxcast,96,auc,0.7235915492957746,0.4940239043824701,t03,42
toxcast,97,auc,0.3488372093023256,0.4791666666666667,t03,42
toxcast,98,auc,0.7345542806707855,0.6769153225806451,t03,42
toxcast,99,auc,0.727112676056338,0.5197628458498024,t03,42
toxcast,100,auc,0.7448657187993681,0.6382113821138211,t03,42
toxcast,101,auc,0.6970720720720721,0.5540391156462585,t03,42
toxcast,102,auc,0.5425675675675675,0.6022727272727273,t03,42
toxcast,103,auc,0.5498442367601246,0.6027829313543599,t03,42
toxcast,104,auc,0.641958041958042,0.5900085034013606,t03,42
toxcast,105,auc,0.6547169811320754,nan,t03,42
toxcast,106,auc,0.6202830188679245,0.547883064516129,t03,42
toxcast,107,auc,0.654421768707483,0.6994535519125683,t03,42
toxcast,108,auc,0.6488372093023256,0.9882352941176471,t03,42
toxcast,109,auc,0.5557511737089202,0.5090505464480874,t03,42
toxcast,110,auc,0.6300101214574899,0.6570105397636538,t03,42
toxcast,111,auc,0.6391509433962265,0.5843137254901961,t03,42
toxcast,112,auc,0.5801282051282052,0.4993252361673414,t03,42
toxcast,113,auc,0.5675837320574163,0.3623991935483871,t03,42
toxcast,114,auc,0.33796296296296297,0.6392156862745098,t03,42
toxcast,115,auc,0.5965909090909091,0.6429512516469038,t03,42
toxcast,116,auc,0.7989731437598736,0.6569721115537849,t03,42
toxcast,117,auc,0.5011737089201878,0.2597609561752988,t03,42
toxcast,118,auc,0.9,0.5575396825396826,t03,42
toxcast,119,auc,0.6391509433962265,0.5843137254901961,t03,42
toxcast,120,auc,0.7380952380952381,0.4368169398907104,t03,42
toxcast,121,auc,0.5528301886792453,0.7171314741035857,t03,42
toxcast,122,auc,0.6976415094339623,0.4573412698412698,t03,42
toxcast,123,auc,0.6318407960199005,0.5203081232492998,t03,42
toxcast,124,auc,0.6764354066985646,0.6906666666666667,t03,42
toxcast,125,auc,0.6823621227887617,0.5836356026785714,t03,42
toxcast,126,auc,0.7580882352941176,0.614112690889942,t03,42
toxcast,127,auc,0.5607352941176471,0.5974992086103197,t03,42
toxcast,128,auc,0.6412141779788839,0.6323941033774958,t03,42
toxcast,129,auc,0.8455766192733017,0.5218173639226271,t03,42
toxcast,130,auc,0.7309523809523809,0.3557312252964427,t03,42
toxcast,131,auc,0.6408974358974359,0.5676839543156712,t03,42
toxcast,132,auc,0.7334905660377359,0.424901185770751,t03,42
toxcast,133,auc,0.6041520056298382,0.5354609929078015,t03,42
toxcast,134,auc,0.44366197183098594,0.36023622047244097,t03,42
toxcast,135,auc,0.6866925064599483,0.5893129217151564,t03,42
toxcast,136,auc,0.9027777777777778,0.720734126984127,t03,42
toxcast,137,auc,0.6751841620626151,0.6354066985645933,t03,42
toxcast,138,auc,0.6766431924882629,0.8452380952380952,t03,42
toxcast,139,auc,0.6519607843137255,0.567983789260385,t03,42
toxcast,140,auc,0.5493680884676145,0.499203187250996,t03,42
toxcast,141,auc,0.6521673690547862,0.6625787929850839,t03,42
toxcast,142,auc,0.5258454106280194,0.44155844155844154,t03,42
