task,task_type,metric,feature_mode,fingerprint,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec,config_id,seed
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,128,0.9420491884894951,0.6879340277777778,1.058,t03,42
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,128,0.7009157509157509,0.7932533472439576,0.952,t03,42
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,128,0.9243171148100726,0.8648498592430404,0.962,t03,42
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,128,0.7171380115488883,0.6838682823485452,4.342,t03,42
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,128,0.6880447758307501,0.5777266821846463,55.378,t03,42
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,128,0.6303769061500347,0.6161337246505888,3.909,t03,42
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,128,0.6996956447187929,0.7225207130303791,18.431,t03,42
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,128,0.7726674766387471,0.6297951950915315,43.192,t03,42
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,128,1.7256171980265855,1.841473904569211,0.368,t03,42
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,128,5.815316580890415,3.2664009545281387,0.163,t03,42
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,128,1.1183144325353636,1.0586036695446484,2.05,t03,42
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,128,135.88050691544626,131.9904930161118,1.309,t03,42
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,128,0.02423028272918033,0.026323064665194035,6.066,t03,42
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,128,0.01483600236107629,0.01724782264754721,29.228,t03,42
